SiteName,Urban,PlotID,species,age,count,morph
Sandy,rural,82,PSME,g,0,con
Sandy,rural,83,PSME,g,0,con
Wildwood,rural,83,PSME,g,0,con
Wildwood,rural,87,PSME,g,0,con
Wildwood,rural,88,PSME,g,0,con
Sandy,rural,95,PSME,g,0,con
Sandy,rural,111,PSME,g,0,con
Sandy,rural,122,PSME,g,0,con
Sandy,rural,128,PSME,g,0,con
Sandy,rural,136,PSME,g,0,con
Sandy,rural,141,PSME,g,0,con
Sandy,rural,159,PSME,g,1,con
Sandy,rural,176,PSME,g,0,con
Sandy,rural,181,PSME,g,0,con
Barlow,rural,1,AB,g,0,con
Marquam,urban,1,AB,g,0,con
Tryon,urban,1,AB,g,0,con
Wildwood,rural,1,AB,g,0,con
Barlow,rural,2,AB,g,0,con
Riverview,urban,2,AB,g,0,con
Barlow,rural,3,AB,g,0,con
ForestPark,urban,3,AB,g,0,con
McIver,rural,3,AB,g,0,con
Wildwood,rural,3,AB,g,0,con
Barlow,rural,4,AB,g,0,con
Marquam,urban,4,AB,g,0,con
Riverview,urban,4,AB,g,0,con
Riverview,urban,4,AB,g,0,con
Marquam,urban,5,AB,g,0,con
McIver,rural,5,AB,g,0,con
Riverview,urban,5,AB,g,0,con
Marquam,urban,6,AB,g,0,con
Riverview,urban,6,AB,g,0,con
Barlow,rural,7,AB,g,0,con
Lacamas,urban,7,AB,g,0,con
Riverview,urban,7,AB,g,0,con
ForestPark,urban,8,AB,g,0,con
Lacamas,urban,8,AB,g,0,con
Tryon,urban,8,AB,g,0,con
Barlow,rural,10,AB,g,0,con
Lacamas,urban,10,AB,g,0,con
Marquam,urban,10,AB,g,0,con
Oxbow,rural,10,AB,g,0,con
Oxbow,rural,11,AB,g,0,con
Barlow,rural,11,AB,g,0,con
ForestPark,urban,11,AB,g,2,con
Marquam,urban,11,AB,g,0,con
Riverview,urban,11,AB,g,0,con
ForestPark,urban,12,AB,g,0,con
Lacamas,urban,12,AB,g,0,con
McIver,rural,12,AB,g,0,con
Oxbow,rural,12,AB,g,0,con
Barlow,rural,13,AB,g,0,con
ForestPark,urban,13,AB,g,0,con
Lacamas,urban,13,AB,g,0,con
Tryon,urban,13,AB,g,0,con
Barlow,rural,14,AB,g,0,con
ForestPark,urban,14,AB,g,0,con
Lacamas,urban,14,AB,g,0,con
Marquam,urban,14,AB,g,0,con
ForestPark,urban,15,AB,g,0,con
ForestPark,urban,15,AB,g,0,con
McIver,rural,15,AB,g,0,con
Riverview,urban,15,AB,g,5,con
Tryon,urban,15,AB,g,0,con
Barlow,rural,16,AB,g,0,con
Tryon,urban,16,AB,g,0,con
Lacamas,urban,17,AB,g,0,con
McIver,rural,18,AB,g,0,con
Oxbow,rural,18,AB,g,0,con
Riverview,urban,18,AB,g,0,con
Tryon,urban,18,AB,g,0,con
Wildwood,rural,18,AB,g,0,con
ForestPark,urban,19,AB,g,0,con
Barlow,rural,20,AB,g,0,con
Lacamas,urban,20,AB,g,0,con
McIver,rural,20,AB,g,0,con
Riverview,urban,20,AB,g,0,con
Riverview,urban,20,AB,g,1,con
Lacamas,urban,21,AB,g,0,con
Riverview,urban,21,AB,g,0,con
Tryon,urban,21,AB,g,0,con
Marquam,urban,22,AB,g,0,con
Tryon,urban,23,AB,g,0,con
Wildwood,rural,23,AB,g,0,con
Barlow,rural,24,AB,g,0,con
ForestPark,urban,24,AB,g,0,con
Riverview,urban,24,AB,g,0,con
Wildwood,rural,24,AB,g,0,con
Barlow,rural,25,AB,g,0,con
Marquam,urban,25,AB,g,0,con
Riverview,urban,25,AB,g,0,con
McIver,rural,26,AB,g,0,con
Sandy,rural,26,AB,g,0,con
Barlow,rural,27,AB,g,0,con
Tryon,urban,27,AB,g,0,con
Oxbow,rural,28,AB,g,0,con
Tryon,urban,28,AB,g,0,con
Lacamas,urban,29,AB,g,0,con
Oxbow,rural,29,AB,g,0,con
Tryon,urban,29,AB,g,0,con
Barlow,rural,30,AB,g,0,con
ForestPark,urban,30,AB,g,0,con
Riverview,urban,30,AB,g,0,con
Tryon,urban,30,AB,g,0,con
Marquam,urban,31,AB,g,0,con
McIver,rural,31,AB,g,0,con
Tryon,urban,31,AB,g,0,con
Marquam,urban,32,AB,g,0,con
Oxbow,rural,32,AB,g,0,con
Lacamas,urban,35,AB,g,0,con
Marquam,urban,35,AB,g,0,con
Oxbow,rural,35,AB,g,0,con
Wildwood,rural,35,AB,g,0,con
ForestPark,urban,36,AB,g,0,con
Tryon,urban,36,AB,g,0,con
Wildwood,rural,37,AB,g,0,con
Oxbow,rural,38,AB,g,0,con
Lacamas,urban,39,AB,g,0,con
ForestPark,urban,40,AB,g,0,con
Oxbow,rural,40,AB,g,0,con
Tryon,urban,40,AB,g,0,con
Wildwood,rural,40,AB,g,0,con
McIver,rural,41,AB,g,0,con
Lacamas,urban,43,AB,g,0,con
Oxbow,rural,43,AB,g,0,con
ForestPark,urban,45,AB,g,0,con
Oxbow,rural,45,AB,g,0,con
Oxbow,rural,46,AB,g,0,con
Lacamas,urban,47,AB,g,0,con
Marquam,urban,47,AB,g,0,con
Oxbow,rural,47,AB,g,0,con
Marquam,urban,48,AB,g,0,con
Oxbow,rural,48,AB,g,0,con
Sandy,rural,48,AB,g,0,con
ForestPark,urban,49,AB,g,0,con
Lacamas,urban,50,AB,g,0,con
Marquam,urban,50,AB,g,0,con
McIver,rural,51,AB,g,0,con
Sandy,rural,53,AB,g,0,con
McIver,rural,56,AB,g,0,con
McIver,rural,57,AB,g,0,con
McIver,rural,61,AB,g,0,con
Wildwood,rural,61,AB,g,0,con
McIver,rural,63,AB,g,0,con
Wildwood,rural,67,AB,g,0,con
Wildwood,rural,69,AB,g,0,con
Wildwood,rural,74,AB,g,0,con
McIver,rural,75,AB,g,0,con
Sandy,rural,80,AB,g,0,con
Sandy,rural,82,AB,g,0,con
Sandy,rural,83,AB,g,0,con
Wildwood,rural,83,AB,g,0,con
Wildwood,rural,87,AB,g,0,con
Wildwood,rural,88,AB,g,0,con
Sandy,rural,95,AB,g,0,con
Sandy,rural,111,AB,g,0,con
Sandy,rural,122,AB,g,0,con
Sandy,rural,128,AB,g,0,con
Sandy,rural,136,AB,g,0,con
Sandy,rural,141,AB,g,0,con
Sandy,rural,159,AB,g,0,con
Sandy,rural,176,AB,g,0,con
Sandy,rural,181,AB,g,0,con
Barlow,rural,1,THPL,g,0,con
Marquam,urban,1,THPL,g,0,con
Tryon,urban,1,THPL,g,0,con
Wildwood,rural,1,THPL,g,0,con
Barlow,rural,2,THPL,g,0,con
Riverview,urban,2,THPL,g,0,con
Barlow,rural,3,THPL,g,1,con
ForestPark,urban,3,THPL,g,0,con
McIver,rural,3,THPL,g,5,con
Wildwood,rural,3,THPL,g,0,con
Barlow,rural,4,THPL,g,0,con
Marquam,urban,4,THPL,g,0,con
Riverview,urban,4,THPL,g,0,con
Riverview,urban,4,THPL,g,0,con
Marquam,urban,5,THPL,g,0,con
McIver,rural,5,THPL,g,1,con
Riverview,urban,5,THPL,g,0,con
Marquam,urban,6,THPL,g,0,con
Riverview,urban,6,THPL,g,0,con
Barlow,rural,7,THPL,g,1,con
Lacamas,urban,7,THPL,g,0,con
Riverview,urban,7,THPL,g,0,con
ForestPark,urban,8,THPL,g,0,con
Lacamas,urban,8,THPL,g,0,con
Tryon,urban,8,THPL,g,0,con
Barlow,rural,10,THPL,g,0,con
Lacamas,urban,10,THPL,g,0,con
Marquam,urban,10,THPL,g,0,con
Oxbow,rural,10,THPL,g,0,con
Oxbow,rural,11,THPL,g,0,con
Barlow,rural,11,THPL,g,0,con
ForestPark,urban,11,THPL,g,0,con
Marquam,urban,11,THPL,g,0,con
Riverview,urban,11,THPL,g,0,con
ForestPark,urban,12,THPL,g,0,con
Lacamas,urban,12,THPL,g,0,con
McIver,rural,12,THPL,g,0,con
Oxbow,rural,12,THPL,g,0,con
Barlow,rural,13,THPL,g,0,con
ForestPark,urban,13,THPL,g,0,con
Lacamas,urban,13,THPL,g,0,con
Tryon,urban,13,THPL,g,0,con
Barlow,rural,14,THPL,g,0,con
ForestPark,urban,14,THPL,g,0,con
Lacamas,urban,14,THPL,g,0,con
Marquam,urban,14,THPL,g,0,con
ForestPark,urban,15,THPL,g,0,con
ForestPark,urban,15,THPL,g,0,con
McIver,rural,15,THPL,g,2,con
Riverview,urban,15,THPL,g,0,con
Tryon,urban,15,THPL,g,0,con
Barlow,rural,16,THPL,g,0,con
Tryon,urban,16,THPL,g,0,con
Lacamas,urban,17,THPL,g,0,con
McIver,rural,18,THPL,g,0,con
Oxbow,rural,18,THPL,g,0,con
Riverview,urban,18,THPL,g,0,con
Tryon,urban,18,THPL,g,0,con
Wildwood,rural,18,THPL,g,0,con
ForestPark,urban,19,THPL,g,0,con
Barlow,rural,20,THPL,g,0,con
Lacamas,urban,20,THPL,g,0,con
McIver,rural,20,THPL,g,0,con
Riverview,urban,20,THPL,g,0,con
Riverview,urban,20,THPL,g,0,con
Lacamas,urban,21,THPL,g,0,con
Riverview,urban,21,THPL,g,0,con
Tryon,urban,21,THPL,g,0,con
Marquam,urban,22,THPL,g,0,con
Tryon,urban,23,THPL,g,0,con
Wildwood,rural,23,THPL,g,0,con
Barlow,rural,24,THPL,g,0,con
ForestPark,urban,24,THPL,g,0,con
Riverview,urban,24,THPL,g,0,con
Wildwood,rural,24,THPL,g,0,con
Barlow,rural,25,THPL,g,0,con
Marquam,urban,25,THPL,g,0,con
Riverview,urban,25,THPL,g,0,con
McIver,rural,26,THPL,g,2,con
Sandy,rural,26,THPL,g,0,con
Barlow,rural,27,THPL,g,0,con
Tryon,urban,27,THPL,g,0,con
Oxbow,rural,28,THPL,g,0,con
Tryon,urban,28,THPL,g,0,con
Lacamas,urban,29,THPL,g,0,con
Oxbow,rural,29,THPL,g,0,con
Tryon,urban,29,THPL,g,0,con
Barlow,rural,30,THPL,g,0,con
ForestPark,urban,30,THPL,g,0,con
Riverview,urban,30,THPL,g,2,con
Tryon,urban,30,THPL,g,0,con
Marquam,urban,31,THPL,g,0,con
McIver,rural,31,THPL,g,2,con
Tryon,urban,31,THPL,g,0,con
Marquam,urban,32,THPL,g,0,con
Oxbow,rural,32,THPL,g,0,con
Lacamas,urban,35,THPL,g,0,con
Marquam,urban,35,THPL,g,0,con
Oxbow,rural,35,THPL,g,0,con
Wildwood,rural,35,THPL,g,0,con
ForestPark,urban,36,THPL,g,1,con
Tryon,urban,36,THPL,g,0,con
Wildwood,rural,37,THPL,g,0,con
Oxbow,rural,38,THPL,g,0,con
Lacamas,urban,39,THPL,g,1,con
ForestPark,urban,40,THPL,g,0,con
Oxbow,rural,40,THPL,g,0,con
Tryon,urban,40,THPL,g,0,con
Wildwood,rural,40,THPL,g,0,con
McIver,rural,41,THPL,g,4,con
Lacamas,urban,43,THPL,g,0,con
Oxbow,rural,43,THPL,g,0,con
ForestPark,urban,45,THPL,g,0,con
Oxbow,rural,45,THPL,g,1,con
Oxbow,rural,46,THPL,g,1,con
Lacamas,urban,47,THPL,g,0,con
Marquam,urban,47,THPL,g,0,con
Oxbow,rural,47,THPL,g,12,con
Marquam,urban,48,THPL,g,0,con
Oxbow,rural,48,THPL,g,2,con
Sandy,rural,48,THPL,g,0,con
ForestPark,urban,49,THPL,g,0,con
Lacamas,urban,50,THPL,g,0,con
Marquam,urban,50,THPL,g,0,con
McIver,rural,51,THPL,g,7,con
Sandy,rural,53,THPL,g,0,con
McIver,rural,56,THPL,g,0,con
McIver,rural,57,THPL,g,1,con
McIver,rural,61,THPL,g,0,con
Wildwood,rural,61,THPL,g,0,con
McIver,rural,63,THPL,g,1,con
Wildwood,rural,67,THPL,g,0,con
Wildwood,rural,69,THPL,g,0,con
Wildwood,rural,74,THPL,g,0,con
McIver,rural,75,THPL,g,1,con
Sandy,rural,80,THPL,g,0,con
Sandy,rural,82,THPL,g,0,con
Sandy,rural,83,THPL,g,0,con
Wildwood,rural,83,THPL,g,0,con
Wildwood,rural,87,THPL,g,0,con
Wildwood,rural,88,THPL,g,0,con
Sandy,rural,95,THPL,g,0,con
Sandy,rural,111,THPL,g,0,con
Sandy,rural,122,THPL,g,0,con
Sandy,rural,128,THPL,g,0,con
Sandy,rural,136,THPL,g,0,con
Sandy,rural,141,THPL,g,0,con
Sandy,rural,159,THPL,g,0,con
Sandy,rural,176,THPL,g,0,con
Sandy,rural,181,THPL,g,0,con
Barlow,rural,1,ACCI,g,1,dec
Marquam,urban,1,ACCI,g,0,dec
Tryon,urban,1,ACCI,g,22,dec
Wildwood,rural,1,ACCI,g,0,dec
Barlow,rural,2,ACCI,g,0,dec
Riverview,urban,2,ACCI,g,0,dec
Barlow,rural,3,ACCI,g,0,dec
ForestPark,urban,3,ACCI,g,0,dec
McIver,rural,3,ACCI,g,0,dec
Wildwood,rural,3,ACCI,g,0,dec
Barlow,rural,4,ACCI,g,0,dec
Marquam,urban,4,ACCI,g,0,dec
Riverview,urban,4,ACCI,g,0,dec
Riverview,urban,4,ACCI,g,0,dec
Marquam,urban,5,ACCI,g,0,dec
McIver,rural,5,ACCI,g,0,dec
Riverview,urban,5,ACCI,g,0,dec
Marquam,urban,6,ACCI,g,0,dec
Riverview,urban,6,ACCI,g,0,dec
Barlow,rural,7,ACCI,g,0,dec
Lacamas,urban,7,ACCI,g,0,dec
Riverview,urban,7,ACCI,g,0,dec
ForestPark,urban,8,ACCI,g,0,dec
Lacamas,urban,8,ACCI,g,0,dec
Tryon,urban,8,ACCI,g,2,dec
Barlow,rural,10,ACCI,g,0,dec
Lacamas,urban,10,ACCI,g,0,dec
Marquam,urban,10,ACCI,g,1,dec
Oxbow,rural,10,ACCI,g,0,dec
Oxbow,rural,11,ACCI,g,0,dec
Barlow,rural,11,ACCI,g,0,dec
ForestPark,urban,11,ACCI,g,0,dec
Marquam,urban,11,ACCI,g,0,dec
Riverview,urban,11,ACCI,g,201,dec
ForestPark,urban,12,ACCI,g,0,dec
Lacamas,urban,12,ACCI,g,0,dec
McIver,rural,12,ACCI,g,0,dec
Oxbow,rural,12,ACCI,g,0,dec
Barlow,rural,13,ACCI,g,0,dec
ForestPark,urban,13,ACCI,g,0,dec
Lacamas,urban,13,ACCI,g,0,dec
Tryon,urban,13,ACCI,g,0,dec
Barlow,rural,14,ACCI,g,0,dec
ForestPark,urban,14,ACCI,g,0,dec
Lacamas,urban,14,ACCI,g,0,dec
Marquam,urban,14,ACCI,g,0,dec
ForestPark,urban,15,ACCI,g,0,dec
ForestPark,urban,15,ACCI,g,0,dec
McIver,rural,15,ACCI,g,0,dec
Riverview,urban,15,ACCI,g,0,dec
Tryon,urban,15,ACCI,g,0,dec
Barlow,rural,16,ACCI,g,0,dec
Tryon,urban,16,ACCI,g,0,dec
Lacamas,urban,17,ACCI,g,0,dec
McIver,rural,18,ACCI,g,0,dec
Oxbow,rural,18,ACCI,g,4,dec
Riverview,urban,18,ACCI,g,0,dec
Tryon,urban,18,ACCI,g,0,dec
Wildwood,rural,18,ACCI,g,0,dec
ForestPark,urban,19,ACCI,g,0,dec
Barlow,rural,20,ACCI,g,0,dec
Lacamas,urban,20,ACCI,g,0,dec
McIver,rural,20,ACCI,g,14,dec
Riverview,urban,20,ACCI,g,0,dec
Riverview,urban,20,ACCI,g,0,dec
Lacamas,urban,21,ACCI,g,1,dec
Riverview,urban,21,ACCI,g,0,dec
Tryon,urban,21,ACCI,g,0,dec
Marquam,urban,22,ACCI,g,0,dec
Tryon,urban,23,ACCI,g,0,dec
Wildwood,rural,23,ACCI,g,1,dec
Barlow,rural,24,ACCI,g,0,dec
ForestPark,urban,24,ACCI,g,0,dec
Riverview,urban,24,ACCI,g,0,dec
Wildwood,rural,24,ACCI,g,0,dec
Barlow,rural,25,ACCI,g,0,dec
Marquam,urban,25,ACCI,g,0,dec
Riverview,urban,25,ACCI,g,0,dec
McIver,rural,26,ACCI,g,0,dec
